USER_NAME,ROLE_NAME
AAGRAWAL,PROD_ANALYST
AARIVAZHAGAN,DST_ETL_DEVELOPER
AARIVAZHAGAN,SECURITYADMIN
AARIVAZHAGAN,DATA_ENGINEER
AARIVAZHAGAN,EA_BUSINESSANALYST_RO_PRODSEM
AARIVAZHAGAN,EDO_ADMIN_FA_ALL
AARIVAZHAGAN,EDO_PLATFORMLEAD_MIGRATE_PROD
AARIVAZHAGAN,PROD_ANALYST
ABAILEY,PROD_ANALYST
ABHALLA,DST_ETL_DEVELOPER
ABOHLANDER39524,EA_ANALYST_RO_ALL_RW_SANDBOX
ABOUCHIE,PROD_ANALYST
ABOUCHIE,EA_ANALYST_RO_ALL_RW_SANDBOX
ABUI39971,EA_SBO_RO_ALL_RW_SANDBOX
ABUI39971,PROD_ANALYST
ACATLETT43874,DST_ETL_DEVELOPER
ACCT_BI_COMM_CS_ODBC,PROD_ANALYST
ACCT_BI_ED2GO,DST_ETL_DEVELOPER
ACCT_BI_EMEA_SLS_MKT,PROD_ANALYST
ACCT_BI_FIN_RAR,PROD_ANALYST
ACCT_BI_FPA_ALTYREX,DST_ETL_DEVELOPER
ACCT_BI_FPA_ALTYREX,PROD_ANALYST
ACCT_BI_GOV_COLLIBRA,PROD_ANALYST
ACCT_BI_INFOSEC,DST_ETL_DEVELOPER
ACCT_CP_ALTYREX,PROD_ANALYST
ACHRISTOPHER47947,DATA_ENGINEER
ADAILEY,EA_BUSINESSANALYST_RO_PRODSEM
ADAVIS46768,PROD_ANALYST
ADAVIS46768,QST_ETL_DEVELOPER
ADUTT46706,QST_ETL_DEVELOPER
ADUTT46706,PROD_ANALYST
AGOLCHHA46996,DST_ETL_DEVELOPER
AGOLCHHA46996,PROD_ANALYST
AGOLCHHA46996,QST_ETL_DEVELOPER
AGRIGSBY39435,PROD_ANALYST
AHARTMAN,PROD_ANALYST
AKAKUMANI45160,PROD_ANALYST
AKRISHNARAJ,PROD_ANALYST
AKULKARNI46884,PROD_ANALYST
AKUMARI,QST_ETL_DEVELOPER
AKUMARI,PROD_ANALYST
ALIANG42522,PROD_ANALYST
ALUCIANO,PROD_ANALYST
AMARTENCO,PROD_ANALYST
AMARTENCO,EA_ANALYST_RO_ALL_RW_SANDBOX
AMONDAL47282,PROD_ANALYST
AMORAN,PROD_ANALYST
ARAO45785,PROD_ANALYST
ARUN_TEMP,ACCOUNTADMIN
ARUN_TEMP,DATA_ENGINEER
ARUN_TEMP,DST_ETL_DEVELOPER
ARUN_TEMP,SECURITYADMIN
ARUN_TEST,EA_BUSINESSANALYST_RO_PRODSEM
ARUN_TEST2,EA_BUSINESSANALYST_RO_PRODSEM
ARUN_TEST3,EA_BUSINESSANALYST_RO_PRODSEM
ARUN_TEST3,PROD_ANALYST
ARUN_TEST4,PROD_ANALYST
ASALAZAR42536,PROD_ANALYST
ASANCHEZ43699,PROD_ANALYST
ASANTOS,PROD_ANALYST
ATHOTA44913,DST_ETL_DEVELOPER
ATHOTA44913,QST_ETL_DEVELOPER
AUCUMMINGS,PROD_ANALYST
AUCUMMINGS,EA_FPABI_RO_RW_SANDBOX
AVALLY44040,DST_ETL_DEVELOPER
AVENKATESHWARA44038,DST_ETL_DEVELOPER
AYIN41726,PROD_ANALYST
BANDREWS39878,PROD_ANALYST
BEUGENE30113,DATA_ENGINEER
BHEUSER,PROD_ANALYST
BHEUSER,EA_ANALYST_RO_ALL_RW_SANDBOX
BHOLTZMAN44060,PROD_ANALYST
BHUANG46931,PROD_ANALYST
BWAINWRIGHT,PROD_ANALYST
CAFIN_ACCT_BI_POWERUSER,PROD_ANALYST
CAMILFIN_ACCT_BI_POWERUSER,PROD_ANALYST
CASEC_ACCT_BI_POWERUSER,PROD_ANALYST
CA_BI_POWERUSER,PROD_ANALYST
CA_BI_POWER_USER,PROD_ANALYST
CBIAGETTI,PROD_ANALYST
CCORTESE,PROD_ANALYST
CDIEWALD_SFC,SYSADMIN
CDIEWALD_SFC,SECURITYADMIN
CGILLER,PROD_ANALYST
CGRIFFIN,PROD_ANALYST
CGRIFFIN,EA_ANALYST_RO_ALL_RW_SANDBOX
CQIAN,PROD_ANALYST
CXU45636,PROD_ANALYST
DATA_ENGINEER_TEST,DATA_ENGINEER
DDELLIMPERIO,PROD_ANALYST
DDIANGE42162,EA_BUSINESSANALYST_RO_PRODSEM
DEPLOY_ROLES_TEMP_USER,SYSADMIN
DEPLOY_ROLES_TEMP_USER,SECURITYADMIN
DEPLOY_ROLES_TEMP_USER,ACCOUNTADMIN
DGEISLER,DST_ETL_DEVELOPER
DGUPTA46767,QST_ETL_DEVELOPER
DGUPTA46767,PROD_ANALYST
DHOFFINE,PROD_ANALYST
DOCONNOR,PROD_ANALYST
DPALANIVELU46690,QST_ETL_DEVELOPER
DPALANIVELU46690,PROD_ANALYST
DPEJMAN44669,PROD_ANALYST
DSCHAFER,PROD_ANALYST
DSELVAM,DATA_ENGINEER
DTRAMBOULAKIS,PROD_ANALYST
DWBI_ANALYST,ANALYST
DWBI_ANALYST,LANDING_ACCESS
DWILLIAMS42836,EA_ANALYST_RO_ALL_RW_SANDBOX
DWILLIAMS42836,EA_FPA_RO_RW_SANDBOX
DWILLIAMS42836,PROD_ANALYST
DZHU,EA_BUSINESSANALYST_RO_PRODSEM
DZHU,EA_FPA_RO_RW_SANDBOX
D_DM_BI_USER,SCHRL_DCDW_DB_CDW_DM_TB_READONLY
D_DM_BI_USER,PROD_ANALYST
D_DM_ETL_USER,SCH_RW_DCDW_DB_CDW_DM_TB
D_DM_ETL_USER,DST_ETL_DEVELOPER
D_DM_ETL_USER,SCHRL_DCDW_DB_CDW_DM_TB_FULLACCESS
D_DM_ETL_USER,SCHRL_DCDW_DB_CDW_DM_TB_READWRITE
D_DM_ETL_USER,SCHRL_DCDW_DB_CDW_LANDING_TB_FULLACCESS
D_DM_ETL_USER_TST,SCHRL_DCDW_DB_CDW_DM_TB_FULLACCESS
D_DM_ETL_USER_TST,SCHRL_DCDW_DB_CDW_LANDING_TB_FULLACCESS
D_DST_BI_USER,DST_ETL_DEVELOPER
D_DST_ETL_USER,SYSADMIN
D_DST_ETL_USER,DST_ETL_DEVELOPER
D_FADEL_ETL_USER,SCHRL_DCDW_DB_D_CDW_FADEL_TB_READWRITE
D_FADEL_ETL_USER,SCHRL_DCDW_DB_D_CDW_FADEL_TB_FULLACCESS
EDEGUZMAN44729,DST_ETL_DEVELOPER
EDEGUZMAN44729,QST_ETL_DEVELOPER
EDO_SANDBOX_SERVICE_ACCT,EDO_SANDBOX_USER
EDO_SANDBOX_USER,EDO_SANDBOX_USER
EKHVOSTOVA,PROD_ANALYST
ELIM44340,PROD_ANALYST
ELOPEZ45753,PROD_ANALYST
ELT_ACCT_BI_POWERUSER,PROD_ANALYST
EMASTERS,PROD_ANALYST
ERUMMER,EA_FPA_RO_RW_SANDBOX
ESANDVIK,PROD_ANALYST
ESCHULZ,PROD_ANALYST
ETL_LOAD_USER,SYSADMIN
FADEL_LOOKER,SCHRL_PCDW_DB_P_CDW_FADEL_TB_READONLY
FADEL_LOOKER,SCHRL_DCDW_DB_CDW_DM_TB_READONLY
FADEL_LOOKER,PROD_ANALYST
FADE_TEST,SYSADMIN
FIN_ACCT_BI_POWERUSER,PROD_ANALYST
FWANG44895,PROD_ANALYST
GSURESH44042,DST_ETL_DEVELOPER
GTHIRUGNANAM39999,DATA_ENGINEER
GTHIRUGNANAM39999,D_WORKDAY_BI_ANALYST
HANWAR,PROD_ANALYST
HANWAR,EA_ANALYST_RO_ALL_RW_SANDBOX
HANWAR,ACCOUNTADMIN
HANWAR,EDO_SANDBOX_USER
HCKOH,PROD_ANALYST
HNAGPAL,PROD_ANALYST
HNAGPAL,SCHRL_PCDW_DB_P_CDW_FADEL_TB_READONLY
HRACHUMALLU44976,PROD_ANALYST
HRACHUMALLU44976,QST_ETL_DEVELOPER
HTURNER45751,PROD_ANALYST
IFENG44951,PROD_ANALYST
ISCHWEIGER47111,PROD_ANALYST
ISCHWEIGER47111,EA_ANALYST_RO_ALL_RW_SANDBOX
ISYED46888,DST_ETL_DEVELOPER
ISYED46888,QST_ETL_DEVELOPER
ISYED46888,PROD_ANALYST
JASTEVEN,EA_FPABI_RO_RW_SANDBOX
JCARPENTER_SFC,ACCOUNTADMIN
JCARPENTER_SFC,SYSADMIN
JCHILTON,PROD_ANALYST
JDATZ,SYSADMIN
JDATZ,ACCOUNTADMIN
JDAVIS,PROD_ANALYST
JDAVIS,EA_SBO_RO_ALL_RW_SANDBOX
JGRAMS,PROD_ANALYST
JGRUBBS,EA_FPABI_RO_RW_SANDBOX
JGRUBBS,PROD_ANALYST
JHARRINGTON47195,NEW_ANALYST_FA
JHARRINGTON47195,DATA_OWNER_ROLE
JHARRINGTON47195,DST_ETL_DEVELOPER
JHARRINGTON47195,TEST_OWNER_1_ROLE
JHARRINGTON47195,OLD_BI_ROLE
JHARRINGTON47195,PROD_ANALYST
JHARRINGTON47195,EDO_SANDBOX_USER
JHARRINGTON47195,DATA_ENGINEER
JHARRINGTON47195,ACCOUNTADMIN
JHARRINGTON47195,TEST_OWNER_2_ROLE
JHARRINGTON47195,EA_ANALYST_RO_ALL_RW_SANDBOX
JHARRINGTON47195,OLD_ETL_ROLE
JHOLBROOK47172,PROD_ANALYST
JJACKSON,PROD_ANALYST
JJEFFERSON43519,PROD_ANALYST
JLEE46713,PROD_ANALYST
JMARCOULIER,PROD_ANALYST
JOLAFSSON,PROD_ANALYST
JPATEL41981,DST_ETL_DEVELOPER
JSCHAEFER,PROD_ANALYST
JSCHAEFER,EA_FPA_RO_RW_SANDBOX
JTRAURING46983,PROD_ANALYST
JWALSH,EA_FPA_RO_RW_SANDBOX
JWALSH,PROD_ANALYST
KCONNER,EDO_ADMIN_FA_ALL
KCONNER,DST_ETL_DEVELOPER
KCONNER,EA_ANALYST_RO_ALL_RW_SANDBOX
KCONNER,PROD_ANALYST
KCONNER2,DST_ETL_DEVELOPER
KCONNER2,PROD_ANALYST
KCONNER2,ACCOUNTADMIN
KCONNER2,EA_ANALYST_RO_ALL_RW_SANDBOX
KDONG,PROD_ANALYST
KDUNN,EA_ANALYST_RO_ALL_RW_SANDBOX
KDUNN,PROD_ANALYST
KKAUR45098,EDO_SANDBOX_USER
KKAUR45098,EA_ANALYST_RO_ALL_RW_SANDBOX
KKAUR45098,PROD_ANALYST
KLOJACONO,PROD_ANALYST
KMBATES,PROD_ANALYST
KMBATES,EA_FPA_RO_RW_SANDBOX
KNEYLAND,PROD_ANALYST
KOWEN,EA_SBO_RO_ALL_RW_SANDBOX
KOWEN,PROD_ANALYST
KRANA43419,PROD_ANALYST
KRANA43419,EA_ANALYST_RO_ALL_RW_SANDBOX
KRANA43419,EDO_SANDBOX_USER
KREDDY46687,PROD_ANALYST
KREDDY46687,QST_ETL_DEVELOPER
KSAYIR,PROD_ANALYST
KSRIVASTAVA44984,PROD_ANALYST
LDALY42488,EA_BUSINESSANALYST_RO_PRODSEM
LDALY42488,EA_FPA_RO_RW_SANDBOX
LEETEST,EA_BUSINESSANALYST_RO_PRODSEM
LEETEST,PROD_ANALYST
LIMDAD46751,QST_ETL_DEVELOPER
LIMDAD46751,PROD_ANALYST
LNICHOLS,EA_FPA_RO_RW_SANDBOX
LNICHOLS,PROD_ANALYST
LNICHOLS,EA_BUSINESSANALYST_RO_PRODSEM
LOOKER,SCHRL_DCDW_DB_D_CDW_FADEL_TB_READONLY
LOOKER,LANDING_ACCESS
LOOKER,SCHRL_DCDW_DB_CDW_DM_TB_READONLY
LOOKER,PROD_ANALYST
LOOKER,ANALYST
LOOKER,SCHRL_PCDW_DB_P_CDW_FADEL_TB_READONLY
LORTMEYER44164,DST_ETL_DEVELOPER
LPARK,PROD_ANALYST
LPFAFF,PROD_ANALYST
MABARRERA,DST_ETL_DEVELOPER
MBARRERA,DST_ETL_DEVELOPER
MBRYANT,PROD_ANALYST
MCHASE40558,PROD_ANALYST
MDAYAN1,PROD_ANALYST
MDBROWN,PROD_ANALYST
MELUMALAI,ACCOUNTADMIN
MELUMALAI,SYSADMIN
MGOPI44039,DST_ETL_DEVELOPER
MGOPI44039,QST_ETL_DEVELOPER
MGUILIANI,EA_FPA_RO_RW_SANDBOX
MHENRY,EA_ANALYST_RO_ALL_RW_SANDBOX
MHENRY,EA_BUSINESSANALYST_RO_PRODSEM
MHENRY,PROD_ANALYST
MHENSON_SFC,SYSADMIN
MHENSON_SFC,SECURITYADMIN
MHUGHES,EA_FPA_RO_RW_SANDBOX
MHUGHES,EA_BUSINESSANALYST_RO_PRODSEM
MKASTIYA44562,DST_ETL_DEVELOPER
MKASTIYA44562,QST_ETL_DEVELOPER
MKAUSHIK44041,DST_ETL_DEVELOPER
MKTG_OPS_BI_POWERUSER,PROD_ANALYST
MKTG_OPS_BI_POWERUSER,EDO_SANDBOX_RO_DEVRO
MKTG_OPS_BI_POWERUSER,EDO_SANDBOX_RW_DEVRO
MMAVULURU,ACCOUNTADMIN
MMAVULURU,SNOWFLAKE_SUPPORT
MMAVULURU,SYSADMIN
MMAVULURU,EDO_ADMIN_FA_ALL
MMAVULURU,PROD_ANALYST
MNINGEGOWDA47044,PROD_ANALYST
MPETROVICH46796,PROD_ANALYST
MPETROVICH46796,EA_ANALYST_RO_ALL_RW_SANDBOX
MRAO,PROD_ANALYST
MSEILER,PROD_ANALYST
NGVOZDANOVIC,EA_ANALYST_RO_ALL_RW_SANDBOX
NGVOZDANOVIC,EA_FPA_RO_RW_SANDBOX
NGVOZDANOVIC,PROD_ANALYST
NMODANI45618,QST_ETL_DEVELOPER
NMODANI45618,PROD_ANALYST
NOCHIAI,PROD_ANALYST
NPUJARI45819,PROD_ANALYST
NPUJARI45819,QST_ETL_DEVELOPER
NSIRIMACHAN42158,PROD_ANALYST
NVASILOGLOU47176,PROD_ANALYST
OPENGLASE,EDO_SANDBOX_USER
OPENGLASE,EA_ANALYST_RO_ALL_RW_SANDBOX
OPENGLASE,PROD_ANALYST
PAT_TEST_USER019,DATA_ENGINEER
PBANGARI,PROD_ANALYST
PBI_PAT_USER_TST,DST_ETL_DEVELOPER
PCASTON47869,EA_ANALYST_RO_ALL_RW_SANDBOX
PMOKKAPATTI46688,PROD_ANALYST
PMOKKAPATTI46688,QST_ETL_DEVELOPER
POWERBI_EXPLORE,PROD_ANALYST
PPURUSHOTHAMAN_SFC,SYSADMIN
PPURUSHOTHAMAN_SFC,SECURITYADMIN
PRADONDAPATI,PROD_ANALYST
PRAMACHANDRAN45363,DATA_ENGINEER
PRAVURI,SYSADMIN
PRAVURI,ELT_DEV_RL
PRAVURI,ACCOUNTADMIN
PRAVURI,PROD_DEVELOPERS
PRAVURI71247,SNOWFLAKE_SUPPORT
PRAVURI71247,ACCOUNTADMIN
PRAVURI71247,PROD_ANALYST
PSAHA45598,DST_ETL_DEVELOPER
PSTEFFENS,SYSADMIN
PTHIRUNAVUKKAR42586,DATA_ENGINEER
PTHIRUNAVUKKAR_TEST,DATA_ENGINEER
PVARATHARAJAN,PROD_ANALYST
P_DM_BI_USER,SCHRL_PCDW_DB_CDW_DM_TB_READONLY
P_DM_BI_USER,PROD_ANALYST
P_DM_ETL_USER,SCHRL_PCDW_DB_CDW_DM_TB_READWRITE
P_DST_BI_USER,PROD_ANALYST
P_DST_BI_USER,DST_ETL_DEVELOPER
P_DST_ETL_USER,DST_ETL_DEVELOPER
P_FADEL_ETL_USER,SCHRL_PCDW_DB_P_CDW_FADEL_TB_FULLACCESS
P_FADEL_ETL_USER,SCHRL_PCDW_DB_P_CDW_FADEL_TB_READWRITE
P_FADEL_ETL_USER,SYSADMIN
Q_DST_BI_USER,QST_ETL_DEVELOPER
Q_DST_ETL_USER,DST_ETL_DEVELOPER
Q_DST_ETL_USER,QST_ETL_DEVELOPER
RBANSAL45553,PROD_ANALYST
RBASKARAN,PROD_ANALYST
RFACHINI,DST_ETL_DEVELOPER
RFETTERMAN44632,DST_ETL_DEVELOPER
RGOPINATHAN47586,EA_ANALYST_RO_ALL_RW_SANDBOX
RGOPINATHAN47586,DATA_ENGINEER
RGOPINATHAN47586,EDO_PLATFORMLEAD_MIGRATE_PROD
RGOROSPE44353,PROD_ANALYST
RKUMAR40243,PROD_ANALYST
RLARSON,SCHRL_PCDW_DB_P_CDW_FADEL_TB_READONLY
RLARSON,PROD_ANALYST
RNAGAKOUNDINYA,QST_ETL_DEVELOPER
RNAGAKOUNDINYA,PROD_ANALYST
ROYAL_ACCT_BI_POWERUSER,PROD_ANALYST
RPACHA42506,EDO_ADMIN_FA_ALL
RPACHA42506,DATA_ENGINEER
RPACHA42506,DST_ETL_DEVELOPER
RPATRO,DST_ETL_DEVELOPER
RSAM,EA_ANALYST_RO_ALL_RW_SANDBOX
RSAM,PROD_ANALYST
RSILVA_SFC,ACCOUNTADMIN
RSILVA_SFC,SYSADMIN
RSINGH45768,PROD_ANALYST
RSRCH_BI_POWERUSER,PROD_ANALYST
RSYED41290,PROD_ANALYST
RTAYLOR,PROD_DEVELOPERS
RTAYLOR,ACCOUNTADMIN
RTAYLOR,SYSADMIN
RVICKERS,PROD_ANALYST
RVIJAYKUMAR46819,PROD_ANALYST
SBASAK46681,PROD_ANALYST
SBASAK46681,QST_ETL_DEVELOPER
SBOWMAN43876,PROD_ANALYST
SBOWMAN43876,DST_ETL_DEVELOPER
SBOWMAN43876,QST_ETL_DEVELOPER
SCHABLANI39832,PROD_ANALYST
SDEVARAJ46778,DST_ETL_DEVELOPER
SDEVARAJ46778,QST_ETL_DEVELOPER
SDINESH39986,DST_ETL_DEVELOPER
SDINESH39986,DATA_ENGINEER
SDINESH39986,QST_ETL_DEVELOPER
SESWARAMOORTHY46878,PROD_ANALYST
SGANGULY46883,PROD_ANALYST
SGOSWAMI46682,QST_ETL_DEVELOPER
SGOSWAMI46682,PROD_ANALYST
SGOYAL41801,PROD_ANALYST
SGUGGEMO,EA_FPA_RO_RW_SANDBOX
SGUPTA,PROD_ANALYST
SKHANNA46652,PROD_ANALYST
SKIM,PROD_ANALYST
SKIM,QST_ETL_DEVELOPER
SLIGHTFOOT41465,PROD_ANALYST
SLOCKWOOD39494,PROD_ANALYST
SMALLADI,PROD_ANALYST
SMUKHERJEE46684,DST_ETL_DEVELOPER
SMUKHERJEE46684,QST_ETL_DEVELOPER
SMUKHERJEE46684,ACCOUNTADMIN
SMULMI,PROD_ANALYST
SMUMTAZ46982,PROD_ANALYST
SNOWFLAKE,ACCOUNTADMIN
SREDDY46073,DATA_ENGINEER
SREDDY46073,PROD_ANALYST
SROBINSON,PROD_ANALYST
SROGERS,PROD_ANALYST
SROGERS,EA_FPABI_RO_RW_SANDBOX
SROUT47244,DATA_ENGINEER
STRATEGY_ACCT_BI_POWERUSER,EDO_SANDBOX_RW_DEVRO
STRATEGY_ACCT_BI_POWERUSER,EDO_SANDBOX_RO_DEVRO
STRATEGY_ACCT_BI_POWERUSER,PROD_ANALYST
SUPPLY_ACCT_BI_POWERUSER,PROD_ANALYST
SVERMA45949,QST_ETL_DEVELOPER
SVERMA45949,PROD_ANALYST
SWYLDS,PROD_ANALYST
SZELKOWITZ46012,PROD_ANALYST
TCORREIA,PROD_ANALYST
TEST,SYSADMIN
TEST_EA_ANALYST_RO_ALL_RW_SANDBOX,DB_PCDW_DB_RO
TEST_EA_ANALYST_RO_ALL_RW_SANDBOX,DB_DCDW_DB_RO
TEST_EA_ANALYST_RO_ALL_RW_SANDBOX,EA_ANALYST_RO_ALL_RW_SANDBOX
TEST_EA_BUSINESSANALYST_RO_PRODSEM,EA_BUSINESSANALYST_RO_PRODSEM
TEST_EA_FPA_RO_RW_SANDBOX,EA_FPA_RO_RW_SANDBOX
TEST_PAT_USER,PROD_ANALYST
TEST_USER_6,EA_BUSINESSANALYST_RO_PRODSEM
TEST_USER_PROD_ANALYST,EA_ANALYST_RO_ALL_RW_SANDBOX
TEST_USER_PROD_ANALYST,PROD_ANALYST
TETMARCHENKO,PROD_ANALYST
TEZHILARASAN42139,DATA_ENGINEER
TFISHMANSTRAIT47318,PROD_ANALYST
TLALLY,PROD_ANALYST
TMARCHENKO,PROD_ANALYST
TMARCHENKO,ANALYST
TMOLINARI,PROD_ANALYST
TMURPHY44633,DST_ETL_DEVELOPER
TRANDAZZA44952,PROD_ANALYST
TSHAIKH,PROD_ANALYST
TSHAIKH,EA_ANALYST_RO_ALL_RW_SANDBOX
USHED_ACCT_BI_POWERUSER,PROD_ANALYST
USHE_BI_POWERUSER,PROD_ANALYST
VABBARAJU46693,QST_ETL_DEVELOPER
VABBARAJU46693,PROD_ANALYST
VCHAKKA,DST_ETL_DEVELOPER
VCHAKKA,QST_ETL_DEVELOPER
VCHAKKA,PROD_ANALYST
VDANGE,DATA_ENGINEER
VDOKANIA44121,DST_ETL_DEVELOPER
VGUPTA46651,PROD_ANALYST
VGUPTA46651,QST_ETL_DEVELOPER
VHARSORA46818,PROD_ANALYST
VHARSORA46818,QST_ETL_DEVELOPER
VKARRE46882,PROD_ANALYST
VKUMAR44635,EDO_SANDBOX_USER
VKUMAR44635,PROD_ANALYST
VKUMAR44635,EA_ANALYST_RO_ALL_RW_SANDBOX
VPENUMADU,SYSADMIN
VPENUMADU1,SYSADMIN
VPRIETO39833,PROD_ANALYST
VSRIVASTAVA44933,EDO_PLATFORMLEAD_MIGRATE_PROD
VSRIVASTAVA44933,PROD_ANALYST
VSRIVASTAVA44933,DST_ETL_DEVELOPER
VSRIVASTAVA44933,DATA_ENGINEER
VWANG44950,PROD_ANALYST
WD_BI_USER_1,WORKDAY_BI_ANALYST
WD_BI_USER_1,D_WORKDAY_BI_ANALYST
WD_BI_USER_1,DST_ETL_DEVELOPER
WD_ETL_USER_1,WORKDAY_ETL_DEVELOPER
WD_ETL_USER_1,D_WORKDAY_ETL_DEVELOPER
WH_MONITOR_USER,WH_MONITOR
WH_QA_DST_BI,DST_ETL_DEVELOPER
WLIN,PROD_ANALYST
WPHENICIE,PROD_ANALYST
WPHENICIE,EA_SBO_RO_ALL_RW_SANDBOX
YLIANG,PROD_ANALYST
ZAVILES41482,PROD_ANALYST
ZHASSAN,PROD_ANALYST
ZHOWE,SYSADMIN
ZSHEPARD,SYSADMIN
ZSIMON44602,EA_ANALYST_RO_ALL_RW_SANDBOXPRODUSER
ZSIMON44602,EDO_SANDBOX_USER
ZSIMON44602,EA_ANALYST_RO_ALL_RW_SANDBOX
ZSIMON44602,PROD_ANALYST
ZZLEPPER43870,DST_ETL_DEVELOPER
